ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
159001.SZ,易方达保证金货币A,货币ETF易方达,易方达保证金收益货币市场基金A类,,,20130329,2014-10-20,L,SZ,易方达基金,交通银行股份有限公司,0.15,纯境内
159002.OF,易方达保证金货币B,易方达保证金货币B,易方达保证金收益货币市场基金B类,,,20130329,2014-10-20,L,SZ,易方达基金,交通银行股份有限公司,0.15,纯境内
159003.OF,招商保证金快线A,招商保证金快线A,招商保证金快线货币市场基金A类,,,20130517,2014-10-20,L,SZ,招商基金,平安银行股份有限公司,,纯境内
159003.SZ,招商保证金快线A,招商快线ETF,招商保证金快线货币市场基金A类,,,20130517,2014-10-20,L,SZ,招商基金,平安银行股份有限公司,0.2,纯境内
159004.OF,招商保证金快线B,招商保证金快线B,招商保证金快线货币市场基金B类,,,20130517,2014-10-20,L,SZ,招商基金,平安银行股份有限公司,0.2,纯境内
159005.OF,汇添富收益快钱货币A,汇添富收益快钱货币A,汇添富收益快钱货币市场基金A类,,,20141223,2015-01-13,L,SZ,汇添富基金,中国工商银行股份有限公司,,纯境内
159005.SZ,汇添富收益快钱货币A,快钱ETF汇添富,汇添富收益快钱货币市场基金A类,,,20141223,2015-01-13,L,SZ,汇添富基金,中国工商银行股份有限公司,0.15,纯境内
159006.OF,汇添富收益快钱货币B,汇添富收益快钱货币B,汇添富收益快钱货币市场基金B类,,,20141223,2015-01-13,L,SZ,汇添富基金,中国工商银行股份有限公司,0.15,纯境内
159007.SZ,华泰柏瑞中证畜牧养殖产业ETF,华泰柏瑞中证畜牧养殖产业ETF,华泰柏瑞中证畜牧养殖产业交易型开放式指数证券投资基金,931946.CSI,中证畜牧养殖产业指数,,,P,SZ,华泰柏瑞基金,中国农业银行股份有限公司,,纯境内
159008.SZ,景顺长城中证全指证券公司ETF,景顺长城中证全指证券公司ETF,景顺长城中证全指证券公司交易型开放式指数证券投资基金,399975.SZ,中证全指证券公司指数,,,P,SZ,景顺长城基金,国信证券股份有限公司,,纯境内
159009.SZ,易方达创业板新能源ETF,易方达创业板新能源ETF,易方达创业板新能源交易型开放式指数证券投资基金,399266.SZ,创业板新能源指数,,,P,SZ,易方达基金,中国农业银行股份有限公司,,纯境内
159013.SZ,大成中证工业互联网主题ETF,大成中证工业互联网主题ETF,大成中证工业互联网主题交易型开放式指数证券投资基金,931495.CSI,中证工业互联网主题指数,,,P,SZ,大成基金,广发证券股份有限公司,,纯境内
159017.SZ,石油ETF工银,石油ETF工银,工银瑞信国证石油天然气交易型开放式指数证券投资基金,399439.SZ,国证石油天然气指数,,,P,SZ,工银瑞信基金,广发证券股份有限公司,,纯境内
159018.SZ,广发国证石油天然气ETF,广发国证石油天然气ETF,广发国证石油天然气交易型开放式指数证券投资基金,399439.SZ,国证石油天然气指数,,,P,SZ,广发基金,中信建投证券股份有限公司,,纯境内
159019.SZ,华宝国证石油天然气ETF,华宝国证石油天然气ETF,华宝国证石油天然气交易型开放式指数证券投资基金,399439.SZ,国证石油天然气指数,,,P,SZ,华宝基金,金融街证券股份有限公司,,纯境内
159020.SZ,易方达中证畜牧养殖产业ETF,易方达中证畜牧养殖产业ETF,易方达中证畜牧养殖产业交易型开放式指数证券投资基金,931946.CSI,中证畜牧养殖产业指数,,,P,SZ,易方达基金,中国工商银行股份有限公司,,纯境内
159021.SZ,华夏国证大盘价值ETF,华夏国证大盘价值ETF,华夏国证大盘价值交易型开放式指数证券投资基金,399373.SZ,国证大盘价值指数,,,P,SZ,华夏基金,国投证券股份有限公司,,纯境内
159022.SZ,富国中证科创创业人工智能ETF,富国中证科创创业人工智能ETF,富国中证科创创业人工智能交易型开放式指数证券投资基金,932456.CSI,中证科创创业人工智能指数,,,P,SZ,富国基金,平安银行股份有限公司,,纯境内
159026.SZ,南方国证石油天然气ETF,南方国证石油天然气ETF,南方国证石油天然气交易型开放式指数证券投资基金,399439.SZ,国证石油天然气指数,,,P,SZ,南方基金,招商银行股份有限公司,,纯境内
159100.OF,华夏布拉德斯科巴西伊博维斯帕ETF(QDII),华夏布拉德斯科巴西伊博维斯帕ETF(QDII),华夏布拉德斯科巴西伊博维斯帕交易型开放式指数证券投资基金(QDII),BOVESPA.OTH,巴西IBOVESPA指数,20251105,2025-11-13,L,SZ,华夏基金,中国工商银行股份有限公司,,QDII
159100.SZ,华夏布拉德斯科巴西伊博维斯帕ETF(QDII),巴西ETF华夏,华夏布拉德斯科巴西伊博维斯帕交易型开放式指数证券投资基金(QDII),BOVESPA.OTH,巴西IBOVESPA指数,20251105,2025-11-13,L,SZ,华夏基金,中国工商银行股份有限公司,0.5,QDII
159101.OF,华夏国证港股通科技ETF,华夏国证港股通科技ETF,华夏国证港股通科技交易型开放式指数证券投资基金,987008.SZ,国证港股通科技指数,20250826,2025-09-03,L,SZ,华夏基金,中信银行股份有限公司,,纯境内
159101.SZ,华夏国证港股通科技ETF,港股通科技ETF华夏,华夏国证港股通科技交易型开放式指数证券投资基金,987008.SZ,国证港股通科技指数,20250826,2025-09-03,L,SZ,华夏基金,中信银行股份有限公司,0.5,纯境内
159102.OF,华安恒生生物科技ETF,华安恒生生物科技ETF,华安恒生生物科技交易型开放式指数证券投资基金,HSBIO.HI,恒生生物科技指数,20250905,2025-09-16,L,SZ,华安基金,华泰证券股份有限公司,,纯境内
