ts_code,trade_date,total_mv,float_mv,total_share,float_share,free_share,turnover_rate,turnover_rate_f,pe,pe_ttm,pb
000905.SH,2025-12-31,17462413714163.0,15262102732370.0,1237756523561.0,1117102941954.0,570529433628.0,1.74,3.41,36.46,33.8,2.32
000905.SH,2025-12-30,17458277177028.0,15252130864483.0,1237381711232.0,1117114651055.0,570488950029.0,1.76,3.44,36.45,33.79,2.32
000905.SH,2025-12-29,17411374793160.0,15195773303577.0,1236461334200.0,1116999355175.0,570499050640.0,1.78,3.49,36.35,33.7,2.32
000905.SH,2025-12-26,17475772721148.0,15242444531162.0,1236461577600.0,1116621355175.0,570485155618.0,1.78,3.49,36.49,33.83,2.33
000905.SH,2025-12-25,17365089304023.0,15144958029852.0,1236461577600.0,1116621355175.0,570470815192.0,1.51,2.95,36.26,33.61,2.31
000905.SH,2025-12-24,17240441689065.0,15029087878261.0,1236437571704.0,1116592873534.0,570442204306.0,1.51,2.96,36.0,33.37,2.3
000905.SH,2025-12-23,17027815936734.0,14841687489843.0,1236438970795.0,1116545293552.0,570406783892.0,1.55,3.04,35.55,32.96,2.27
000905.SH,2025-12-22,17023545808139.0,14810600181125.0,1236438933356.0,1115263740736.0,570392756715.0,1.6,3.12,35.54,32.95,2.27
000905.SH,2025-12-19,16832297543833.0,14649255193782.0,1236438933356.0,1115242248736.0,570292557551.0,1.6,3.14,35.14,32.58,2.24
000905.SH,2025-12-18,16681380697513.0,14508391292881.0,1236421362710.0,1115225335598.0,570218111958.0,1.39,2.72,34.83,32.29,2.22
000905.SH,2025-12-17,16759452657036.0,14579848984565.0,1236421325271.0,1115225298159.0,570180301019.0,1.56,3.06,34.99,32.44,2.23
000905.SH,2025-12-16,16457534846784.0,14317299807837.0,1236419012590.0,1115223400478.0,570048923175.0,1.54,3.02,34.36,31.86,2.19
000905.SH,2025-12-15,16712710559383.0,14530085610325.0,1236419012590.0,1115030121304.0,570064795319.0,1.54,3.02,34.89,32.35,2.23
000905.SH,2025-12-12,16781651393215.0,14808192449801.0,1259417767254.0,1136930667595.0,573417498162.0,1.75,3.46,35.76,32.66,2.23
000905.SH,2025-12-11,16581408432122.0,14634608646021.0,1259416817254.0,1136927595350.0,573414425917.0,1.6,3.17,35.34,32.27,2.2
000905.SH,2025-12-10,16745845898431.0,14787809624722.0,1259418724754.0,1136928184956.0,573431015523.0,1.35,2.69,35.69,32.59,2.22
000905.SH,2025-12-09,16673848797817.0,14719493106265.0,1259418724754.0,1136928184956.0,573430605523.0,1.47,2.91,35.53,32.45,2.21
000905.SH,2025-12-08,16782675050106.0,14815188854584.0,1259351954072.0,1136880482674.0,573305097858.0,1.69,3.36,35.77,32.67,2.23
000905.SH,2025-12-05,16620993424339.0,14674359515709.0,1259351954072.0,1136880661674.0,573254621496.0,1.48,2.94,35.42,32.35,2.21
000905.SH,2025-12-04,16407123469242.0,14502311049672.0,1259256902037.0,1136887856274.0,573261816096.0,1.24,2.46,34.97,31.94,2.18
000905.SH,2025-12-03,16376734211429.0,14477843842186.0,1259205518879.0,1136836459616.0,573207402374.0,1.39,2.75,34.9,31.88,2.12
000905.SH,2025-12-02,16462375999795.0,14552598210479.0,1259132831121.0,1136763452058.0,573129551716.0,1.32,2.61,35.08,32.04,2.19
000905.SH,2025-12-01,16603743820637.0,14669264201870.0,1259104001405.0,1136734570996.0,573100149268.0,1.57,3.12,35.39,32.32,2.21
000905.SH,2025-11-28,16454720717031.0,14527548432693.0,1259103995905.0,1136734565371.0,573093709384.0,1.23,2.45,35.07,32.03,2.19
000905.SH,2025-11-27,16272972551256.0,14373195832660.0,1259029018139.0,1136659257517.0,572940008141.0,1.21,2.41,34.68,31.67,2.16
000905.SH,2025-11-26,16305243853411.0,14403562927454.0,1259029027402.0,1136628527017.0,572893685984.0,1.31,2.6,34.75,31.74,2.17
000905.SH,2025-11-25,16282565014413.0,14387977369288.0,1259029141646.0,1136628079248.0,572852127415.0,1.43,2.84,34.7,31.69,2.16
000905.SH,2025-11-24,16106933543266.0,14224089756589.0,1259028945368.0,1136628423997.0,572861299437.0,1.46,2.9,34.33,31.35,2.14
000905.SH,2025-11-21,15982239898830.0,14121743657323.0,1258961765674.0,1136561472434.0,572665212992.0,1.84,3.65,34.06,31.11,2.12
000905.SH,2025-11-20,16528514849460.0,14560437571525.0,1258939913184.0,1135822368378.0,572610481714.0,1.41,2.79,35.23,32.17,2.2
000905.SH,2025-11-19,16665067596342.0,14681857671156.0,1258782512657.0,1135664967851.0,572449581187.0,1.43,2.84,35.52,32.44,2.21
000905.SH,2025-11-18,16734616134728.0,14741412400189.0,1258184573564.0,1135663226902.0,572446546776.0,1.78,3.53,35.66,32.57,2.22
000905.SH,2025-11-17,16942897422285.0,14924155394283.0,1258275965846.0,1135753737444.0,572891856015.0,1.79,3.54,36.11,32.98,2.25
000905.SH,2025-11-14,16967094618053.0,14927822599458.0,1258154554571.0,1133292220740.0,572458901934.0,1.82,3.6,36.16,33.03,2.26
000905.SH,2025-11-13,17228467608250.0,15157487609449.0,1258153528726.0,1133292153191.0,572464453685.0,1.76,3.49,36.72,33.53,2.29
000905.SH,2025-11-12,16974393741190.0,14942764437483.0,1258153528710.0,1133136113850.0,572379537191.0,1.64,3.24,36.18,33.14,2.26
000905.SH,2025-11-11,17052657131418.0,15031763696052.0,1258081177086.0,1133063794745.0,572307218086.0,1.69,3.35,36.34,33.29,2.27
000905.SH,2025-11-10,17150632190682.0,15127577862290.0,1257974238639.0,1132948726798.0,572100635117.0,1.81,3.57,36.55,33.48,2.28
000905.SH,2025-11-07,17097093012622.0,15079441856564.0,1257663773857.0,1132944964968.0,572095620287.0,1.7,3.37,36.44,33.38,2.27
000905.SH,2025-11-06,17141899375137.0,15105853633086.0,1257579315858.0,1132592261243.0,572062532070.0,1.78,3.53,36.53,33.46,2.28
000905.SH,2025-11-05,16880853730699.0,14881499391681.0,1257579315858.0,1132565782326.0,572020913643.0,1.73,3.42,35.98,32.95,2.25
000905.SH,2025-11-04,16829402873787.0,14830594505358.0,1257425516403.0,1132413456669.0,571869217066.0,1.71,3.38,35.87,32.85,2.24
000905.SH,2025-11-03,17103120334194.0,15064208008918.0,1257425774435.0,1132413368606.0,571776472901.0,1.96,3.88,36.45,33.39,2.28
000905.SH,2025-10-31,17108263139353.0,15054817214532.0,1257462990135.0,1132451998556.0,571800604161.0,2.05,4.06,36.46,33.4,2.28
000905.SH,2025-10-30,17216143500267.0,15168209487842.0,1257394666592.0,1132289818517.0,571108398973.0,2.15,4.26,36.69,33.73,2.3
000905.SH,2025-10-29,17420612375005.0,15355933673779.0,1257387122112.0,1132280200114.0,571300007346.0,1.98,3.92,37.13,34.32,2.34
000905.SH,2025-10-28,17105580340329.0,15073701550503.0,1257205338421.0,1132103041869.0,570680493455.0,1.79,3.54,36.45,34.03,2.3
000905.SH,2025-10-27,17190159507895.0,15142577888610.0,1257175988906.0,1132074218571.0,570153173730.0,2.05,4.07,36.64,34.56,2.32
000905.SH,2025-10-24,16911049295228.0,14902911478379.0,1257175753830.0,1132073865287.0,570006992421.0,1.73,3.43,36.04,34.39,2.29
000905.SH,2025-10-23,16667642164658.0,14689487910721.0,1257175740957.0,1132073456328.0,570006373130.0,1.67,3.31,35.52,33.95,2.26
000905.SH,2025-10-22,16645922311876.0,14661406280066.0,1257147529529.0,1132073456328.0,569938551728.0,1.5,2.98,35.48,33.9,2.26
000905.SH,2025-10-21,16771254389860.0,14771716524884.0,1257142909474.0,1132069163785.0,569869452425.0,1.82,3.61,35.74,34.16,2.28
000905.SH,2025-10-20,16501141453033.0,14540917631200.0,1257208554064.0,1132133583645.0,569933872285.0,1.56,3.1,35.17,33.66,2.24
000905.SH,2025-10-17,16386520923873.0,14432145007528.0,1257193612952.0,1131056283004.0,569934067635.0,1.77,3.51,34.92,33.44,2.23
000905.SH,2025-10-16,16860222170272.0,14844535176334.0,1257192916409.0,1131051884127.0,569926499932.0,1.72,3.42,35.93,34.43,2.29
000905.SH,2025-10-15,16992595883433.0,14974386133954.0,1257192128119.0,1131047422131.0,569914800091.0,1.92,3.82,36.21,34.7,2.31
000905.SH,2025-10-14,16775071422900.0,14786330422082.0,1257169118711.0,1131032529116.0,569914864682.0,2.45,4.87,35.75,34.27,2.28
000905.SH,2025-10-13,17161258852979.0,15117635101965.0,1257161562103.0,1131024972508.0,569898411551.0,2.28,4.53,36.57,35.05,2.33
000905.SH,2025-10-10,17222908595773.0,15163237079940.0,1257158911702.0,1130252975754.0,569854115539.0,2.32,4.6,36.7,35.18,2.34
000905.SH,2025-10-09,17541155850662.0,15414454818860.0,1257080895207.0,1130149651430.0,569756389421.0,2.51,4.97,37.38,35.83,2.38
000905.SH,2025-09-30,17245657396618.0,15147471415656.0,1257081114257.0,1129849816086.0,569718710422.0,1.95,3.87,36.75,35.23,2.34
000905.SH,2025-09-29,17097616536842.0,15028402408504.0,1257091035839.0,1129845885720.0,569681867659.0,2.07,4.1,36.44,34.92,2.32
000905.SH,2025-09-26,16867511083941.0,14815061586745.0,1257112383742.0,1129808136964.0,569540029114.0,1.87,3.71,35.95,34.45,2.29
000905.SH,2025-09-25,17083047737756.0,14990723847632.0,1257110751665.0,1129168816375.0,569470829971.0,2.09,4.15,36.41,34.89,2.32
000905.SH,2025-09-24,17053495583183.0,14973963643681.0,1257164360176.0,1129176632452.0,569503383557.0,2.13,4.22,36.34,34.83,2.31
000905.SH,2025-09-23,16730538281532.0,14696347615282.0,1257150719810.0,1129162912586.0,569347814907.0,2.49,4.94,35.66,34.17,2.27
