ts_code,trade_date,total_mv,float_mv,total_share,float_share,free_share,turnover_rate,turnover_rate_f,pe,pe_ttm,pb
399001.SZ,2013/12/25,1636636070931.0,1285148291800.0,1.44165E+11,1.16308E+11,74297716198,0.84,1.32,14.81,14.01,2
399001.SZ,2013/12/26,1595692068214.0,1253683240891.0,1.44165E+11,1.16308E+11,74297716198,0.74,1.16,14.44,13.66,1.95
399001.SZ,2013/12/27,1625045435114.0,1276529666646.0,1.44165E+11,1.16308E+11,74297716198,0.79,1.23,14.71,13.91,1.98
399001.SZ,2013/12/30,1613437299804.0,1266900495512.0,1.44165E+11,1.16308E+11,74297716198,0.69,1.08,14.6,13.81,1.97
399001.SZ,2013/12/31,1640051914596.0,1288717561601.0,1.44165E+11,1.16308E+11,74297716198,0.72,1.12,14.84,14.04,2
399001.SZ,2014/1/2,1809932176291.0,1331609805441.0,1.4317E+11,1.12651E+11,72925814745,0.64,0.99,16.19,14.84,2.2
399001.SZ,2014/1/3,1794915838103.0,1318104876520.0,1.4317E+11,1.12651E+11,72925814745,0.81,1.24,16.06,14.72,2.18
399001.SZ,2014/1/6,1749363921214.0,1284746783495.0,1.4317E+11,1.12651E+11,72925814745,0.89,1.37,15.65,14.35,2.13
399001.SZ,2014/1/7,1747876489099.0,1281568966675.0,1.4317E+11,1.12651E+11,72925814745,0.58,0.89,15.63,14.33,2.13
399001.SZ,2014/1/8,1745874956446.0,1278485450245.0,1.4317E+11,1.12651E+11,72925814745,0.72,1.12,15.62,14.32,2.12
399001.SZ,2014/1/9,1748673074332.0,1268012388995.0,1.44494E+11,1.11976E+11,72250787942,0.94,1.45,15.64,14.34,2.09
399001.SZ,2014/1/10,1724562249978.0,1251881647193.0,1.44494E+11,1.11976E+11,72250787942,0.72,1.11,15.43,14.12,2.06
399001.SZ,2014/1/13,1714858087675.0,1243926965469.0,1.44494E+11,1.11976E+11,72247878821,0.73,1.13,15.34,14.04,2.05
399001.SZ,2014/1/14,1734914500352.0,1257922884152.0,1.44494E+11,1.11976E+11,72152297583,0.9,1.4,15.52,14.2,2.07
399001.SZ,2014/1/15,1737834738425.0,1257975410581.0,1.44494E+11,1.11976E+11,72152297583,0.74,1.14,15.54,14.22,2.07
399001.SZ,2014/1/16,1737693970354.0,1258130916648.0,1.44494E+11,1.11976E+11,72232642047,0.77,1.19,15.54,14.22,2.07
399001.SZ,2014/1/17,1711044352943.0,1238839676744.0,1.44494E+11,1.11976E+11,72232642047,0.64,0.99,15.31,14,2.04
399001.SZ,2014/1/20,1699971399880.0,1233196080812.0,1.44494E+11,1.11976E+11,72232642047,0.59,0.92,15.21,13.78,2.02
399001.SZ,2014/1/21,1715589117070.0,1243647997204.0,1.44494E+11,1.11976E+11,72232642047,0.56,0.87,15.35,13.91,2.04
399001.SZ,2014/1/22,1765181284255.0,1279720984695.0,1.44494E+11,1.11976E+11,72232642047,1.09,1.68,15.79,14.31,2.1
399001.SZ,2014/1/23,1758795672579.0,1274686899527.0,1.44494E+11,1.11976E+11,72232642047,0.8,1.24,15.73,14.26,2.09
399001.SZ,2014/1/24,1773138400586.0,1283372103440.0,1.44494E+11,1.11976E+11,72232642047,0.94,1.46,15.86,14.33,2.11
