l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801880.SI,汽车,801881.SI,摩托车及其他,858811.SI,其他运输设备,600679.SH,上海凤凰,19931008,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600683.SH,京投发展,19931025,,Y
801740.SI,国防军工,801744.SI,航海装备Ⅱ,850935.SI,航海装备Ⅲ,600685.SH,中船防务,19931028,,Y
801880.SI,汽车,801096.SI,商用车,850913.SI,商用载客车,600686.SH,金龙汽车,19931108,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,600688.SH,上海石化,19931108,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600693.SH,东百集团,19931122,,Y
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,600694.SH,大商股份,19931122,,Y
801790.SI,非银金融,801191.SI,多元金融,851927.SI,资产管理,600695.SH,退市绿庭(退市),19931122,,Y
801200.SI,商贸零售,801203.SI,一般零售,852033.SI,多业态零售,600697.SH,欧亚集团,19931206,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,600698.SH,湖南天雁,19931206,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600823.SH,*ST世茂(退市),19931012,,Y
801890.SI,机械设备,801074.SI,专用设备,850728.SI,楼宇设备,600835.SH,上海机电,19930806,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,000021.SZ,深科技,19940202,,Y
801210.SI,社会服务,801219.SI,酒店餐饮,852121.SI,酒店,000033.SZ,新都退(退市),19940103,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,000035.SZ,中国天楹,19940408,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000036.SZ,华联控股,19940617,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,000039.SZ,中集集团,19940408,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000042.SZ,中洲控股,19940921,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000047.SZ,ST中侨(退市),19941021,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000531.SZ,穗恒运A,19940106,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,000533.SZ,顺钠股份,19940103,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,000552.SZ,甘肃能化,19940106,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,000556.SZ,PT南洋(退市),19940525,,Y
801170.SI,交通运输,801179.SI,铁路公路,851771.SI,铁路运输,000557.SZ,西部创业,19940617,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000559.SZ,万向钱潮,19940110,,Y
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,000561.SZ,烽火电子,19940509,,Y
801790.SI,非银金融,801193.SI,证券Ⅱ,851931.SI,证券Ⅲ,000562.SZ,宏源证券(退市),19940202,,Y
801790.SI,非银金融,801191.SI,多元金融,851924.SI,信托,000563.SZ,陕国投A,19940110,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,000564.SZ,供销大集,19940110,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,000566.SZ,海南海药,19940525,,Y
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,000568.SZ,泸州老窖,19940509,,Y
801040.SI,钢铁,801045.SI,特钢Ⅱ,850412.SI,特钢Ⅲ,000569.SZ,长城股份(退市),19940425,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000570.SZ,苏常柴A,19940701,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,000571.SZ,新大洲A,19940525,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000573.SZ,粤宏远A,19940815,,Y
801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造,600801.SH,华新建材,19940103,,Y
801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造,600802.SH,福建水泥,19940103,,Y
801770.SI,通信,801223.SI,通信服务,852212.SI,电信运营商,600804.SH,退市鹏博(退市),19940103,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,600806.SH,退市昆机(退市),19940103,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600808.SH,马钢股份,19940106,,Y
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,600809.SH,山西汾酒,19940106,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600814.SH,杭州解百,19940114,,Y
801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机,600815.SH,厦工股份,19940128,,Y
