month,nt_val,nt_yoy,nt_mom,nt_accu,town_val,town_yoy,town_mom,town_accu,cnt_val,cnt_yoy,cnt_mom,cnt_accu,ppi_yoy,ppi_mp_yoy,ppi_mp_qm_yoy,ppi_mp_rm_yoy,ppi_mp_p_yoy,ppi_cg_yoy,ppi_cg_f_yoy,ppi_cg_c_yoy,ppi_cg_adu_yoy,ppi_cg_dcg_yoy,ppi_mom,ppi_mp_mom,ppi_mp_qm_mom,ppi_mp_rm_mom,ppi_mp_p_mom,ppi_cg_mom,ppi_cg_f_mom,ppi_cg_c_mom,ppi_cg_adu_mom,ppi_cg_dcg_mom,ppi_accu,ppi_mp_accu,ppi_mp_qm_accu,ppi_mp_rm_accu,ppi_mp_p_accu,ppi_cg_accu,ppi_cg_f_accu,ppi_cg_c_accu,ppi_cg_adu_accu,ppi_cg_dcg_accu,m0,m0_yoy,m0_mom,m1,m1_yoy,m1_mom,m2,m2_yoy,m2_mom,inc_month,inc_cumval,stk_endval
2025-12-01,100.8,0.8,0.2,0.0,100.9,0.9,0.2,100.1,100.6,0.6,0.2,99.8,-1.9,-2.1,-4.7,-2.6,-1.6,-1.3,-1.5,-0.1,1.4,-3.5,0.2,0.3,0.8,0.6,0.2,0.0,-0.1,0.2,0.5,-0.2,-2.6,-3.0,-9.0,-3.4,-2.4,-1.5,-1.6,-0.1,0.8,-3.3,141261.37,10.2,2.83,1155146.5,3.8,2.33,3402948.06,8.5,0.98,22075.0,356033.0,442.12
2025-11-01,100.7,0.7,-0.1,0.0,100.7,0.7,-0.1,100.0,100.4,0.4,0.0,99.7,-2.2,-2.4,-6.1,-2.9,-1.9,-1.5,-1.5,-0.3,1.1,-3.6,0.1,0.1,1.7,-0.2,0.1,0.0,-0.1,0.1,0.2,-0.2,-2.7,-3.1,-9.3,-3.5,-2.5,-1.5,-1.6,-0.1,0.7,-3.3,137369.38,10.6,1.4,1128866.64,4.9,0.8,3369890.52,8.0,0.55,24926.0,333958.0,440.07
2025-10-01,100.2,0.2,0.2,-0.1,100.3,0.3,0.2,100.0,99.8,-0.2,0.1,99.7,-2.1,-2.4,-7.8,-2.5,-1.9,-1.4,-1.6,-0.3,1.0,-3.2,0.1,0.1,1.0,0.0,0.1,0.0,-0.1,-0.1,0.7,-0.3,-2.7,-3.2,-9.7,-3.5,-2.5,-1.5,-1.6,-0.1,0.7,-3.3,135478.14,10.6,-0.25,1119962.73,6.2,-1.02,3351312.31,8.2,-0.07,8178.0,309032.0,437.71
2025-09-01,99.7,-0.3,0.1,-0.1,99.8,-0.2,0.0,99.9,99.5,-0.5,0.2,99.7,-2.3,-2.4,-9.0,-2.9,-1.7,-1.7,-1.7,-0.3,0.7,-3.9,0.0,0.0,1.2,0.0,-0.1,-0.2,-0.1,0.0,0.2,-0.4,-2.8,-3.3,-9.9,-3.6,-2.6,-1.5,-1.6,-0.1,0.6,-3.3,135813.36,11.5,1.81,1131455.07,7.2,1.73,3353771.03,8.4,1.02,35299.0,300854.0,437.08
2025-08-01,99.6,-0.4,0.0,-0.1,99.7,-0.3,0.0,100.0,99.4,-0.6,0.1,99.7,-2.9,-3.2,-11.5,-4.1,-2.2,-1.7,-1.7,0.0,0.4,-3.7,0.0,0.1,1.3,0.2,0.0,-0.1,0.1,0.0,-0.2,-0.3,-2.9,-3.4,-9.9,-3.7,-2.7,-1.4,-1.6,-0.1,0.6,-3.2,133402.29,11.7,0.42,1112255.7,6.0,0.15,3319831.44,8.8,0.62,25660.0,265555.0,433.65
2025-07-01,100.0,0.0,0.4,-0.1,100.0,0.0,0.4,100.0,99.7,-0.3,0.3,99.7,-3.6,-4.3,-14.0,-5.4,-3.1,-1.6,-1.8,-0.1,0.6,-3.5,-0.2,-0.2,-0.2,-0.1,-0.3,-0.2,0.0,-0.1,-0.2,-0.6,-2.9,-3.4,-9.7,-3.7,-2.8,-1.4,-1.6,-0.1,0.7,-3.1,132800.0,11.8,0.74,1110600.0,5.6,-2.54,3299400.0,8.8,-0.11,11307.0,239895.0,431.25
2025-06-01,100.1,0.1,-0.1,-0.1,100.1,0.1,-0.1,100.0,99.8,-0.2,0.0,99.7,-3.6,-4.4,-13.2,-5.5,-3.2,-1.4,-2.0,0.1,0.8,-2.7,-0.4,-0.6,-1.2,-0.7,-0.5,-0.1,-0.3,0.0,0.1,-0.1,-2.8,-3.2,-9.0,-3.4,-2.7,-1.4,-1.5,-0.1,0.7,-3.0,131827.18,12.0,0.43,1139494.08,4.6,4.62,3302868.17,8.3,1.38,42251.0,228588.0,430.24
2025-05-01,99.9,-0.1,-0.2,-0.1,100.0,0.0,-0.2,100.0,99.6,-0.4,-0.2,99.7,-3.3,-4.0,-11.9,-5.4,-2.8,-1.4,-1.4,0.0,0.6,-3.3,-0.4,-0.6,-2.5,-0.9,-0.3,0.0,-0.1,0.2,0.1,0.1,-2.6,-3.0,-8.2,-3.0,-2.6,-1.4,-1.5,-0.1,0.7,-3.1,131300.0,12.1,-0.07,1089100.0,2.3,-0.21,3257800.0,7.9,0.19,22899.0,186336.0,426.16
2025-04-01,99.9,-0.1,0.1,-0.1,100.0,0.0,0.2,100.0,99.7,-0.3,0.0,99.7,-2.7,-3.1,-9.4,-3.6,-2.3,-1.6,-1.4,-0.1,0.6,-3.7,-0.4,-0.5,-2.1,-1.0,-0.2,-0.2,-0.1,0.3,0.2,-0.7,-2.4,-2.7,-7.2,-2.3,-2.6,-1.4,-1.5,-0.2,0.7,-3.0,131387.01,12.0,0.53,1091407.33,1.5,-3.83,3251739.32,8.0,-0.27,11599.0,163437.0,424.0
2025-03-01,99.9,-0.1,-0.4,99.9,99.9,-0.1,-0.4,99.9,99.7,-0.3,-0.3,99.8,-2.5,-2.8,-8.3,-2.4,-2.6,-1.5,-1.4,-0.3,0.7,-3.4,-0.4,-0.4,-2.9,-0.6,-0.1,-0.4,-0.2,-0.1,-0.1,-1.0,-2.3,-2.6,-6.5,-1.9,-2.6,-1.3,-1.5,-0.2,0.7,-2.8,130691.86,11.5,-1.56,1134863.1,1.6,3.7,3260554.57,7.0,1.73,58961.0,151838.0,422.97
