ts_code,month,count
000002.SZ,202411,1
000034.SZ,202411,1
000059.SZ,202411,1
000063.SZ,202411,1
000157.SZ,202411,1
000158.SZ,202411,1
000333.SZ,202411,6
000408.SZ,202411,1
000516.SZ,202411,1
000543.SZ,202411,1
000568.SZ,202411,2
000596.SZ,202411,1
000625.SZ,202411,1
000630.SZ,202411,1
000651.SZ,202411,1
000680.SZ,202411,1
000768.SZ,202411,1
000776.SZ,202411,1
000777.SZ,202411,1
000786.SZ,202411,2
000829.SZ,202411,1
000848.SZ,202411,1
000858.SZ,202411,2
000887.SZ,202411,1
000917.SZ,202411,1
000921.SZ,202411,1
000932.SZ,202411,3
000933.SZ,202411,1
000977.SZ,202411,2
001301.SZ,202411,1
001979.SZ,202411,3
002011.SZ,202411,1
002019.SZ,202411,1
002027.SZ,202411,1
002028.SZ,202411,1
002043.SZ,202411,2
002049.SZ,202411,1
002074.SZ,202411,1
002120.SZ,202411,1
002128.SZ,202411,1
002142.SZ,202411,1
002179.SZ,202411,1
002223.SZ,202411,1
002230.SZ,202411,1
002271.SZ,202411,3
002281.SZ,202411,1
002311.SZ,202411,1
002317.SZ,202411,1
002351.SZ,202411,1
002352.SZ,202411,2
002353.SZ,202411,1
002368.SZ,202411,1
002371.SZ,202411,2
002372.SZ,202411,1
002384.SZ,202411,1
002409.SZ,202411,1
002415.SZ,202411,1
002422.SZ,202411,1
002456.SZ,202411,2
002463.SZ,202411,1
002465.SZ,202411,1
002475.SZ,202411,5
002508.SZ,202411,1
002517.SZ,202411,6
002532.SZ,202411,1
002541.SZ,202411,3
002555.SZ,202411,1
002568.SZ,202411,1
002594.SZ,202411,2
002601.SZ,202411,1
002605.SZ,202411,1
002624.SZ,202411,1
002625.SZ,202411,1
002648.SZ,202411,4
002714.SZ,202411,3
002739.SZ,202411,1
002752.SZ,202411,1
002777.SZ,202411,1
002837.SZ,202411,1
002847.SZ,202411,1
002865.SZ,202411,2
002906.SZ,202411,1
002920.SZ,202411,2
002938.SZ,202411,1
002947.SZ,202411,1
002966.SZ,202411,2
002991.SZ,202411,2
003000.SZ,202411,1
003001.SZ,202411,1
003006.SZ,202411,1
300002.SZ,202411,1
300033.SZ,202411,2
300037.SZ,202411,1
300049.SZ,202411,1
300059.SZ,202411,1
300085.SZ,202411,1
300114.SZ,202411,1
300119.SZ,202411,1
300144.SZ,202411,1
300145.SZ,202411,1
300151.SZ,202411,1
300181.SZ,202411,1
300182.SZ,202411,1
300203.SZ,202411,1
300207.SZ,202411,1
300274.SZ,202411,1
300308.SZ,202411,1
300316.SZ,202411,1
300363.SZ,202411,1
300394.SZ,202411,2
300395.SZ,202411,1
300408.SZ,202411,1
300413.SZ,202411,1
300415.SZ,202411,2
300443.SZ,202411,1
300476.SZ,202411,1
300496.SZ,202411,1
300498.SZ,202411,2
300502.SZ,202411,3
300525.SZ,202411,1
300558.SZ,202411,1
300593.SZ,202411,1
300596.SZ,202411,1
300601.SZ,202411,1
300628.SZ,202411,1
300652.SZ,202411,1
300662.SZ,202411,1
300666.SZ,202411,1
300684.SZ,202411,1
300743.SZ,202411,1
300750.SZ,202411,9
300760.SZ,202411,1
300772.SZ,202411,1
300776.SZ,202411,1
300782.SZ,202411,1
300783.SZ,202411,3
300795.SZ,202411,2
300803.SZ,202411,1
300811.SZ,202411,2
300836.SZ,202411,1
300856.SZ,202411,1
300857.SZ,202411,1
300979.SZ,202411,3
300986.SZ,202411,1
301029.SZ,202411,1
301078.SZ,202411,2
301095.SZ,202411,1
301153.SZ,202411,1
301187.SZ,202411,1
301188.SZ,202411,1
301333.SZ,202411,1
301358.SZ,202411,3
301377.SZ,202411,1
301498.SZ,202411,1
301548.SZ,202411,1
600000.SH,202411,1
600011.SH,202411,1
600019.SH,202411,1
600025.SH,202411,1
600026.SH,202411,1
600030.SH,202411,4
600036.SH,202411,2
600048.SH,202411,1
600066.SH,202411,1
600079.SH,202411,1
600111.SH,202411,1
600131.SH,202411,1
600160.SH,202411,1
600163.SH,202411,1
600183.SH,202411,2
600188.SH,202411,1
600233.SH,202411,1
600256.SH,202411,1
600266.SH,202411,2
600298.SH,202411,1
600309.SH,202411,2
600310.SH,202411,1
600316.SH,202411,1
600323.SH,202411,2
600325.SH,202411,2
600346.SH,202411,1
600383.SH,202411,1
600388.SH,202411,1
600389.SH,202411,1
600426.SH,202411,1
600438.SH,202411,4
600458.SH,202411,2
600483.SH,202411,1
600487.SH,202411,2
600522.SH,202411,1
600529.SH,202411,1
600546.SH,202411,1
600566.SH,202411,1
600570.SH,202411,1
600584.SH,202411,3
600585.SH,202411,3
600600.SH,202411,1
600642.SH,202411,3
600649.SH,202411,1
600660.SH,202411,1
600661.SH,202411,1
600690.SH,202411,1
600760.SH,202411,3
600765.SH,202411,2
600809.SH,202411,1
600861.SH,202411,4
600887.SH,202411,1
600900.SH,202411,2
600901.SH,202411,2
600919.SH,202411,2
600938.SH,202411,1
600968.SH,202411,1
600986.SH,202411,1
600989.SH,202411,2
601058.SH,202411,2
601077.SH,202411,1
601100.SH,202411,2
601111.SH,202411,1
601117.SH,202411,1
601138.SH,202411,3
601155.SH,202411,1
601156.SH,202411,2
601211.SH,202411,1
601318.SH,202411,1
601336.SH,202411,1
601555.SH,202411,1
601595.SH,202411,1
601601.SH,202411,4
601615.SH,202411,1
601628.SH,202411,2
601633.SH,202411,1
601636.SH,202411,1
601665.SH,202411,1
601668.SH,202411,2
601688.SH,202411,2
601689.SH,202411,2
601702.SH,202411,1
601717.SH,202411,1
601728.SH,202411,1
601800.SH,202411,4
601808.SH,202411,1
601827.SH,202411,1
601857.SH,202411,1
601865.SH,202411,2
601869.SH,202411,1
601899.SH,202411,2
601918.SH,202411,1
601933.SH,202411,1
601963.SH,202411,1
601975.SH,202411,1
603019.SH,202411,3
603056.SH,202411,2
603062.SH,202411,1
603087.SH,202411,1
603100.SH,202411,1
603119.SH,202411,1
603193.SH,202411,1
603259.SH,202411,1
603283.SH,202411,1
603297.SH,202411,2
603358.SH,202411,1
603369.SH,202411,1
603393.SH,202411,1
603416.SH,202411,1
603501.SH,202411,1
603529.SH,202411,1
603565.SH,202411,1
603605.SH,202411,2
603606.SH,202411,1
603659.SH,202411,1
603678.SH,202411,1
603711.SH,202411,1
603737.SH,202411,2
603799.SH,202411,1
603800.SH,202411,1
603801.SH,202411,1
603816.SH,202411,2
603833.SH,202411,2
603871.SH,202411,1
603885.SH,202411,2
